20.00	0.00	220.49	220.49
19.99	0.00	220.45	220.45
19.98	0.00	220.42	220.42
19.97	0.00	220.39	220.39
19.96	0.00	220.35	220.35
19.95	0.00	220.32	220.32
19.94	0.00	220.28	220.28
19.93	0.00	220.25	220.25
19.92	0.00	220.21	220.21
19.91	0.00	220.18	220.18
19.90	0.00	220.14	220.14
19.89	0.00	220.11	220.11
19.88	0.00	220.07	220.07
19.87	0.00	220.04	220.04
19.86	0.00	220.00	220.00
19.85	0.00	219.97	219.97
19.84	0.00	219.93	219.93
19.83	0.00	219.90	219.90
19.82	0.00	219.86	219.86
19.81	0.00	219.83	219.83
19.80	0.00	219.79	219.79
19.79	0.00	219.76	219.76
19.78	0.00	219.72	219.72
19.77	0.00	219.69	219.69
19.76	0.00	219.65	219.65
19.75	0.00	219.62	219.62
19.74	0.00	219.58	219.58
19.73	0.00	219.55	219.55
19.72	0.00	219.51	219.51
19.71	0.00	219.47	219.47
19.70	0.00	219.44	219.44
19.69	0.00	219.40	219.40
19.68	0.00	219.37	219.37
19.67	0.00	219.33	219.33
19.66	0.00	219.30	219.30
19.65	0.00	219.26	219.26
19.64	0.00	219.22	219.22
19.63	0.00	219.19	219.19
19.62	0.00	219.15	219.15
19.61	0.00	219.12	219.12
19.60	0.00	219.08	219.08
19.59	0.00	219.05	219.05
19.58	0.00	219.01	219.01
19.57	0.00	218.97	218.97
19.56	0.00	218.94	218.94
19.55	0.00	218.90	218.90
19.54	0.00	218.86	218.86
19.53	0.00	218.83	218.83
19.52	0.00	218.79	218.79
19.51	0.00	218.76	218.76
19.50	0.00	218.72	218.72
19.49	0.00	218.68	218.68
19.48	0.00	218.65	218.65
19.47	0.00	218.61	218.61
19.46	0.00	218.57	218.57
19.45	0.00	218.54	218.54
19.44	0.00	218.50	218.50
19.43	0.00	218.47	218.47
19.42	0.00	218.43	218.43
19.41	0.00	218.39	218.39
19.40	0.00	218.36	218.36
19.39	0.00	218.32	218.32
19.38	0.00	218.28	218.28
19.37	0.00	218.25	218.25
19.36	0.00	218.21	218.21
19.35	0.00	218.17	218.17
19.34	0.00	218.13	218.13
19.33	0.00	218.10	218.10
19.32	0.00	218.06	218.06
19.31	0.00	218.02	218.02
19.30	0.00	217.99	217.99
19.29	0.00	217.95	217.95
19.28	0.00	217.91	217.91
19.27	0.00	217.88	217.88
19.26	0.00	217.84	217.84
19.25	0.00	217.80	217.80
19.24	0.00	217.76	217.76
19.23	0.00	217.73	217.73
19.22	0.00	217.69	217.69
